"RelPath","SizeBytes","LastWriteUtc","Fingerprint"
"Project\New folder\SENTINEL_V1\backend\src\sentinel.egg-info\entry_points.txt","53","2026-02-05T13:15:26.5340619Z","FC3A46A1A2E9CAE815AEF35D8456054C2CDCECC6F2850B6B6F6527A650D4570B"
"Project\New folder\SENTINEL_V1\backend\src\sentinel.egg-info\PKG-INFO","415","2026-02-05T13:15:26.5309357Z","3F497A9469713E2183D9024A2A68BCEC52290FB0DA1B74E371D60C70402878C9"
"Project\New folder\SENTINEL_V1\backend\src\sentinel.egg-info\requires.txt","133","2026-02-05T13:15:26.5350928Z","56893823C37AA1C90D7E879794861A8473D77AF1E24589EB01FF4DBA03B5CCA0"
"Project\New folder\SENTINEL_V1\backend\src\sentinel.egg-info\SOURCES.txt","717","2026-02-05T13:15:26.5602102Z","5125DB40F97AEE6C50D6F8BB12F6532808ACC1C76283BB3F4083D7A9ABF768A4"
"Project\New folder\SENTINEL_V1\backend\src\sentinel.egg-info\top_level.txt","9","2026-02-05T13:15:26.5360900Z","B5F7E7D285029324D9B3ACAE19CC05099271454AC98BFC059A92B0581625CD51"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\__init__.py","48","2026-02-04T08:11:50.0000000Z","B576D15EC3B4344FD45759081E26534D0407D1F8F45362A8C7136EB2EFE0CEB3"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\exchange.py","855","2026-02-04T08:11:50.0000000Z","4199104F959AFFAC12123E63C1D0E3E1C5E6FB3526A7589F2D3831624811BCC0"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\filters.py","649","2026-02-04T08:11:50.0000000Z","043AE4ED10AA9C628C42F2C708C1A3225A25DA93C47DE1478A61E466BAF8B3CA"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\indicators.py","766","2026-02-04T08:11:50.0000000Z","82F4B61335B0136C28ACE0F082C94EA08B6466A87CAF4C99BC29B4F86CB565CC"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\mathutils.py","246","2026-02-04T08:11:50.0000000Z","A74B701F9505E9D4982AFDDB0D7980FD4BE18344A89218C03FB79BE0E06C3F43"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\ohlcv.py","759","2026-02-04T08:11:50.0000000Z","7F6894FCE4A0E0724DD0B07677F76595E5E67EEFB302B62168D5F7E79E13FCF2"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\regime.py","713","2026-02-04T08:11:50.0000000Z","19AEC66064B18FEE55B1FD442BD86219FFC4AF5320A23E409A22C74BA6EA730E"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\report.py","1009","2026-02-04T08:11:50.0000000Z","A0049A8E9AD9D7A541E63B2314F84F8F35F80D3F3E64255109991EC3CDA7766A"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\risk.py","895","2026-02-04T08:11:50.0000000Z","EEAE597F897ADD362875E506DC673E0AF7CA4C472FF2ABF80770C50578C19F41"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\core\setups.py","2792","2026-02-04T08:11:50.0000000Z","3B344CBA261717EC135AC771FE4CCE1B57640D828AE0D13A1753736186134854"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\db.py","356","2026-02-04T08:11:50.0000000Z","65874C98D887581535578DA43A1068FECD200B32261C8C1E8E140D75FA80ADC0"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\models.py","3178","2026-02-04T08:11:50.0000000Z","0EEB523D1FE7F48D86518DCAB7C0DA90D468D8BF4C8BB62768B6509833A43D2F"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\security.py","978","2026-02-04T08:11:50.0000000Z","2004A2BFA056D72BE1DAD957D5DECEF3782431A7C7DA6087450827A82E17DA35"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\presets.py","570","2026-02-04T08:11:50.0000000Z","192BD3C62261B6C5612F372A609FBC6546659250164929516363DDE2B13F9DFC"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\schemas.py","849","2026-02-04T08:11:50.0000000Z","CE263366DAF4B5CEBB1637536463958A99F978452D79303979556DB9AC2F3380"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\service.py","10426","2026-02-04T08:11:50.0000000Z","8CC0475F9D6A33B181815EC0F5E1B973BE29790274D619B98086A583309483A7"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\static\app.js","12061","2026-02-04T08:11:50.0000000Z","DD860EA3B884542B16BC487251C1D2B8891B42D802B794AC5BCA1C7DCD36E6D4"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\static\pair.js","4161","2026-02-04T08:11:50.0000000Z","FF06B5F4B4B57C5A7F762B41FA075FE195553286841477BC571CC4BF8C76BB98"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\static\styles.css","3601","2026-02-04T08:11:50.0000000Z","95FB7166834CB353CE92221A4567EDF591B166A7222E25FB691C81F881DF3F95"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\templates\index.html","9412","2026-02-04T08:11:50.0000000Z","DD4B94BB1E675CE8C47940105819E873545E6B7F9056A2BCDE28315EF8624676"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\ui\templates\pair.html","3270","2026-02-04T08:11:50.0000000Z","B33421058E369A1858174390FC49F50ADE75BD8A74DC014C3E5FED8AE5FF664E"
"Project\New folder\SENTINEL_V1\backend\src\sentinel\webapp.py","13581","2026-02-04T08:11:50.0000000Z","B834913BDBA6490F51E0DA72669CE95DEC11D0D268B61466C816F40E9042CB62"
"Project\New folder\SENTINEL_V1\backend\tests\test_smoke.py","40","2026-02-04T08:11:50.0000000Z","ED31A7F68B6F407EB5DA3E1C36E0F46BA0A3A85F9FA1EA914B4CD92F17FA7513"
"Project\New folder\SENTINEL_V1\desktop\package.json","247","2026-02-04T08:11:50.0000000Z","B9D9A6C6022D252F275C1933B6C750915AEC127A1B18293ACD660D05963C4B31"
"Project\New folder\SENTINEL_V1\desktop\README.md","330","2026-02-04T08:11:50.0000000Z","9F9F7D6F286CDBC994A7FD29EE670CEBAD6D13AE549809FC2D1375979C5FAB8D"
"Project\New folder\SENTINEL_V1\desktop\tauri.conf.json","477","2026-02-04T08:11:50.0000000Z","02C8EA4A463F8EF4C8188BD5B8D362DB16A640FACDD65370AB1F0B54FBCD3EFE"
"Project\SENTINEL\.github\workflows\ci.yml","546","2026-02-02T13:09:59.9216963Z","21FA0BF573D104EFB9191A1E0F51B2D87973FBD4E6EDE2FB83AB68237C133F8D"
"Project\SENTINEL\.gitignore","140","2026-02-02T12:55:24.6561623Z","105AC49FE87122EF6DB6A18AE2C8936585FA2B1D213333993A914363629CFD8A"
"Project\SENTINEL\.pytest_cache\.gitignore","39","2026-02-02T13:24:50.1046660Z","E7C6BB30148CF667606DCD63E7CA77ACAA3CFB0C8303BF09E6419E1E1669DC6D"
"Project\SENTINEL\.pytest_cache\CACHEDIR.TAG","191","2026-02-02T13:24:50.1056730Z","37DC88EF9A0ABEDDBE81053A6DD8FDFB13AFB613045EA1EB4A5C815A74A3BDE4"
"Project\SENTINEL\.pytest_cache\README.md","310","2026-02-02T13:24:50.1046660Z","420E808D79A6C25D3CDA0AF33BC4782314A14949866682C68CE8149E89B66B70"
"Project\SENTINEL\.pytest_cache\v\cache\lastfailed","2","2026-02-03T02:56:31.5133120Z","44136FA355B3678A1146AD16F7E8649E94FB4FC21FE77E8310C060F61CAAFF8A"
"Project\SENTINEL\.pytest_cache\v\cache\nodeids","400","2026-02-03T07:44:40.1381051Z","246E7CD7E2B17F7A3D40B724D081BF82BF2FAB02D5A71EB29AB79D0B0666E483"
"Project\SENTINEL\.ruff_cache\.gitignore","35","2026-02-02T13:26:43.1529190Z","9E3A60F1E6EC4AE60215C11D54B171392745EC25E9DDED433D5BD921363AF316"
"Project\SENTINEL\.ruff_cache\0.14.14\16032496191005451602","445","2026-02-03T06:57:53.7520708Z","060A59025EF9B5B9F756429521730074FF9EA2D3EB6D91047B0DB38176883C39"
"Project\SENTINEL\.ruff_cache\0.14.14\17372540751064306012","150","2026-02-02T13:26:43.1699197Z","16925BB5C0678C36F6D86463069BA12CECDC9885981490EAD3EE61989923C1D8"
"Project\SENTINEL\.ruff_cache\0.14.14\6214715531517762113","217","2026-02-03T06:57:53.7520708Z","2DA09552677DDF90B725ADB6D27B5B265600344B3676C0F8751C4FB8B6B337A7"
"Project\SENTINEL\.ruff_cache\0.14.14\8162092064206049898","219","2026-02-03T07:44:26.9581021Z","F5344EDB758D2515E054B113D3E5BDF3D54B8FA30122AB4D42CFABF6B57CE011"
"Project\SENTINEL\.ruff_cache\0.14.14\8920491332333373477","138","2026-02-03T07:44:26.9581021Z","FC86A89832282CBDA9E12DC1DAA39BCFD1889B413887B73F283CA142BEA37BF9"
"Project\SENTINEL\.ruff_cache\CACHEDIR.TAG","43","2026-02-02T13:26:43.1529190Z","5953156D7E0C564A427251316EAF26F8870E6483AE2197F916B630E4F93E31AE"
"Project\SENTINEL\pyproject.toml","450","2026-02-02T13:15:34.1099319Z","3359A8166E7FBA14F69DAFF6E13832FA0CEB056F229BAAF95D132D08D0043D22"
"Project\SENTINEL\README.md","135","2026-02-02T12:55:44.1735950Z","AA6799FB643552D6F08DDD545C5DFD75FBFB12D54B048E75D04C7B6AAA9B4D8C"
"Project\SENTINEL\reports\backtest.txt","576","2026-02-03T07:00:22.8964709Z","223325454C202870DCC06320133AEB5FE1A852C59C7F61D9A2A8B368ED3462A7"
"Project\SENTINEL\reports\scan.json","4807","2026-02-03T06:59:58.6503522Z","2136F682A96A77E521D17199E02D914E44D0366406485AA2466F4F95A2B5707B"
"Project\SENTINEL\sentinel.toml","234","2026-02-03T06:57:41.9992660Z","AAEEA76D5F68CB7509565D96E5F22EF76621D1D0FBBA4339EDBB1F4D7E495230"
"Project\SENTINEL\src\sentinel.egg-info\dependency_links.txt","1","2026-02-02T13:33:21.2119871Z","01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B"
"Project\SENTINEL\src\sentinel.egg-info\PKG-INFO","358","2026-02-02T13:33:21.2109864Z","40BE702B60E54794F23D182050D023D71AE275738FE3B58C58845EC6B4C60974"
"Project\SENTINEL\src\sentinel.egg-info\SOURCES.txt","234","2026-02-02T13:33:21.2585818Z","D827AC235978992433990662933DEF41709880906DAA2C8DE6F184F7EBD9E073"
"Project\SENTINEL\src\sentinel.egg-info\top_level.txt","9","2026-02-02T13:33:21.2375399Z","B5F7E7D285029324D9B3ACAE19CC05099271454AC98BFC059A92B0581625CD51"
"Project\SENTINEL\src\sentinel\__init__.py","90","2026-02-03T06:50:24.7683350Z","7C299C8863B79FFB35D3CCB68ECB8ECAE699AA5444FAEA94E482DC6B355A977F"
"Project\SENTINEL\src\sentinel\backtest.py","3987","2026-02-03T06:57:53.5784392Z","393668386EB6C175DEB1E8B89B39434D02EFBC7E7469389B4CC28A43FE2EE1C5"
"Project\SENTINEL\src\sentinel\core\backtest.py","2763","2026-02-03T06:54:19.0399227Z","291B3D84BF450189DA03BDE7AB40CC823EED8D84C3B7059168C660523EFF1AF6"
"Project\SENTINEL\src\sentinel\core\config.py","1568","2026-02-03T06:51:52.5894790Z","FDC83DAEA6FF98175FCF140FA67D42AA9AFA2C841271DCC7CCFA08B52B0EE5FF"
"Project\SENTINEL\src\sentinel\core\exchange.py","1572","2026-02-02T14:12:19.6275249Z","3185DF623E924AF11243EE9B8BAF535E749E9635FC0283A69BC5B8ACC1715721"
"Project\SENTINEL\src\sentinel\core\filters.py","1552","2026-02-03T02:05:07.1672030Z","6A6C97EA9ECCD09AAB1B9F1369340995F9801BC9FBF89E24DE3C47193B4929BD"
"Project\SENTINEL\src\sentinel\core\indicators.py","821","2026-02-03T01:59:50.5233497Z","338D4441B99F9E32B7DEF845B2AE76DE7C750EC1F08960A32EC2552B312B88C2"
"Project\SENTINEL\src\sentinel\core\io.py","948","2026-02-03T06:51:24.6128359Z","7EF10506C5EEDF867F62B923539B2F5746C0EC774B2756551D7CF8BA099AF484"
"Project\SENTINEL\src\sentinel\core\mathutils.py","579","2026-02-03T02:00:14.1327675Z","5FB159A37D3DD2D5FC0520C320AC4FF2C1FE06235723041AAD63D1753DF3EAA3"
"Project\SENTINEL\src\sentinel\core\ohlcv.py","1079","2026-02-03T02:00:35.7957705Z","C636C4F92897C9CCD3F18D791CFEEE82E12CA991E80B644B0B8B55FED57E29E5"
"Project\SENTINEL\src\sentinel\core\regime.py","1051","2026-02-03T02:07:54.9640009Z","3B4BDA8B706F456E0269F1BF818040A3AC487A3E9430211A3B8F7112507C7DF0"
"Project\SENTINEL\src\sentinel\core\report.py","1811","2026-02-03T06:52:53.9675730Z","0A7AD3B1D96E59E2E6F47F0E5DBDD420856A1C8D16075222C33241E4276CD9AE"
"Project\SENTINEL\src\sentinel\core\risk.py","1087","2026-02-03T06:52:24.5197764Z","D071AC8C1B355897AC914D9E24F352DAC23C2B4723BF25443340EB7B8879EDC3"
"Project\SENTINEL\src\sentinel\core\setups.py","4804","2026-02-03T06:53:19.4236441Z","310B5C433C0E44037A80B1EC13CEC910AAC06C10C9BFFABC3B9E2A60D36B1525"
"Project\SENTINEL\src\sentinel\core\structure.py","422","2026-02-03T02:17:28.8352727Z","9A6F1B4AEC41425701BC0A935F2993DAA7F061000BFA0441E718626F7D5083D4"
"Project\SENTINEL\src\sentinel\main.py","595","2026-02-03T06:50:53.2635952Z","17638BD455EC4E91AB2F5604757B2BC40691896D1E342F9B0CB20DEF355543A5"
"Project\SENTINEL\src\sentinel\scan.py","9009","2026-02-03T06:57:53.6365381Z","15B2B4DBCDEECF4CA413A46BDF33D25FB96F7915476CB2BB180D6B3E4F19073C"
"Project\SENTINEL\src\sentinel\ui\presets.py","1212","2026-02-03T07:36:54.6598366Z","3A214B2107E951C4C2B0E40BAFDBEF15AEC9E368FC4A248B0F1E927DF41EB99F"
"Project\SENTINEL\src\sentinel\ui\schemas.py","961","2026-02-03T07:37:20.3294285Z","F0F80E1EF8F611BE45BF71A3748B59DCBBD746F1B63F01C89D5A2D51522A4229"
"Project\SENTINEL\src\sentinel\ui\service.py","5908","2026-02-03T07:44:26.8904208Z","2E2EE6BE75100F41B1526926DB68DDC149B2D96955ABD23907C6BE39271D9F7E"
"Project\SENTINEL\src\sentinel\ui\static\app.js","4064","2026-02-03T07:40:22.4478207Z","30FF96FF3C20CF3E206FBA5F35791E239F260290EB4E696028EEDE0BBAFD22CD"
"Project\SENTINEL\src\sentinel\ui\static\styles.css","3143","2026-02-03T07:39:51.5046891Z","F82227AF5BE304D8EBDE5C41D14E33A523F59166969A1FA9D841ADA3CC53B9FD"
"Project\SENTINEL\src\sentinel\ui\templates\index.html","4091","2026-02-03T07:39:21.4109768Z","72E8656D4CA81DF42852769B2675D54D234669FAFD760AECC48A71A0EC43A2D2"
"Project\SENTINEL\src\sentinel\web.py","237","2026-02-03T07:38:55.6444308Z","0B2BB61399FCE02CF39A469115E9C413A945F350A4EAB4575D0C032622389742"
"Project\SENTINEL\src\sentinel\webapp.py","1826","2026-02-03T07:44:26.9112269Z","74D1489F7F802E51C2D87577430FBC2D617A3599745A405503337389A9C422DA"
"Project\SENTINEL\tests\test_backtest_smoke.py","288","2026-02-03T06:56:36.3108973Z","90DCEA750C43B758A652CB23C7160CC63C301F617EE955BB1E94BFCC987C8281"
"Project\SENTINEL\tests\test_regime.py","463","2026-02-03T02:09:42.6515807Z","80B9B2DF8A9B7DA00E32F0A3406CE8807C20A8C4B87789D20A63C93F562DDB13"
"Project\SENTINEL\tests\test_risk.py","347","2026-02-03T06:56:08.8233407Z","89FF1881962B4E778AD7B87F4B4440774FF05723E6ECAC492F0763C14BCE3FFA"
"Project\SENTINEL\tests\test_scan_cli.py","187","2026-02-02T14:12:19.6442930Z","346F3503D61DB64C32666CCB1C55F37EB717BD2487E9B9A58C026B7D73DC1595"
"Project\SENTINEL\tests\test_smoke.py","91","2026-02-02T13:30:32.5340713Z","76DFE452EBA305833FFA644A158D46BC0CD2F8DBE9E22237263A8390E0698D3A"
"Project\shona\.gitignore","81","2026-02-01T03:10:21.0821781Z","D9D87E6355C651AD84A7EB12671D23215586AF3C8E821FEF34570DCFA7217463"
"Project\shona\.shona\audit\events.jsonl","142","2026-02-01T06:25:41.4049847Z","CCC5769B0C45D34DC7842573B04FDC112C4A7B2B637D76C5016024B10575244A"
"Project\shona\.shona\snapshots\Nipun-PC_20260201_033326.json","19202","2026-02-01T03:33:27.9997604Z","423732C42562A621E0B4E13C891AF8FB4CAA5C670608B96F9F9299833C1BB46B"
"Project\shona\.shona\snapshots\Nipun-PC_20260201_034116.json","18794","2026-02-01T03:41:19.9603999Z","F40B75246866EB72B3F1DA7F534C254712D72F4CCAABE1ACD97336D3C1D57155"
"Project\shona\.shona\snapshots\Nipun-PC_20260201_034120.json","18793","2026-02-01T03:41:21.4454645Z","67A4E20B9FF83B7D0225B8289B3F45C843EB06A2B36FE4C89EA20BC02E81EAF1"
"Project\shona\.shona\snapshots\Nipun-PC_20260201_054605.json","119598","2026-02-01T05:46:39.5233904Z","F98EA18E834A95B21EEC4C112678AD2C0620C9E69EFAE1DB1AFC4CB9B0F8EC02"
"Project\shona\.shona\snapshots\Nipun-PC_20260201_054640.json","119871","2026-02-01T05:46:46.7885406Z","EF776B93B69EA72C7BA2BA24006548D60D6E1A7359C701468BAF715B99D15F3E"
"Project\shona\.shona\state\ignore.json","79","2026-02-01T05:47:03.6962053Z","F1D9E1DCC10302124216C499A55F159A0CAF2433525EB5D4C056DAF78473EFC8"
"Project\shona\.shona\state\owner.json","139","2026-02-01T06:25:39.7842521Z","808BDF5B3905AA9AA3E7856F3CDF14FBB02CA6FEA5612391037F8BC09B02D50F"
"Project\shona\.shona\state\owner_token.json","73","2026-02-01T06:25:41.4049847Z","812B00D3C0EA4E6B56261DD0F42BA7117D4FC26E0C527A21BCD4ABA659ED8FFB"
"Project\shona\.shona\state\settings.json","143","2026-02-01T06:52:41.8985218Z","5269FCA3BF346E2BF5B39F4E76D8C6FCD2183B8B24772E348F411E690F132590"
"Project\shona\.shona\state\web.pid","4","2026-02-02T08:33:07.2653381Z","5E387E075B1E55BB4CEE37981404386671C0D18D82EAF5DECD10F9F2DAEE8A05"
"Project\shona\.shona\state\web.url","21","2026-02-02T08:33:07.2663402Z","CF9A18E80275FD57ABA20840D6909DD27768DEE640F14DDBF3E8ECAAE6E97660"
"Project\shona\pyproject.toml","506","2026-02-01T06:56:23.6781660Z","AC206D74D03DDB54B2A552924CFB4DFD34D6D40951F192416F5D47BDF4624A1F"
"Project\shona\README.md","6994","2026-02-02T08:30:37.1649647Z","E0B558B97666C13AF65A87B3ED5D0F73EF9E6312C9076BCB9AFA94C386F92065"
"Project\shona\shona.egg-info\dependency_links.txt","1","2026-02-01T06:50:38.3059538Z","01BA4719C80B6FE911B091A7C05124B64EEECE964E09C058EF8F9805DACA546B"
"Project\shona\shona.egg-info\entry_points.txt","46","2026-02-01T06:50:38.3059538Z","E6CE394AFC16A9026330C8A5EB0B56A1BC76DEE5356014FD7EFF0E839725E1F4"
"Project\shona\shona.egg-info\PKG-INFO","548","2026-02-01T06:50:38.3059538Z","B8BB400BE8B5FD411F09755519358E796D80F456AAF00415BC70C177735D3E0A"
"Project\shona\shona.egg-info\requires.txt","82","2026-02-01T06:50:38.3059538Z","072283B03B561322545478C69B3B4B78FE5CDF5E36CA7C14532D9A9B4CFB9B14"
"Project\shona\shona.egg-info\SOURCES.txt","424","2026-02-01T06:50:38.7372434Z","64D554294AF771EDBCBCED62BFEAE9CE46F3C7DC28E09C98E25D91EAF5DC4DE4"
"Project\shona\shona.egg-info\top_level.txt","11","2026-02-01T06:50:38.3059538Z","81131D753E69CF10D2D13B5FD807A7BECFFB90940071FA1F93280114154DBC40"
"Project\shona\shona_core\__init__.py","0","2026-02-01T03:10:21.0853776Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Project\shona\shona_core\audit.py","883","2026-02-01T06:26:33.1480785Z","3FCA78E4B4F273BFDA7FD0DD1A110159BAD9AC74A6DF73FEBA2CEA376FCE745F"
"Project\shona\shona_core\cli.py","18304","2026-02-01T06:56:23.7072736Z","106562CAD45BA8FEE10407355BBB9F77152326C5AE07D1F267EC49AFFFAB0B2C"
"Project\shona\shona_core\diff.py","3299","2026-02-01T05:48:10.4296449Z","B9360F54F333597A8563B9A99B0474257274FC359C2ED2ABF0B72F6385111B8A"
"Project\shona\shona_core\modules\__init__.py","0","2026-02-01T03:45:11.1389535Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"Project\shona\shona_core\modules\actions_win.py","3381","2026-02-01T06:26:33.1793883Z","95792ADCE88439E665821847140028A2D7924F7E2FB78FE19778E6D9240691A3"
"Project\shona\shona_core\modules\ports.py","2241","2026-02-01T03:45:11.2075528Z","750494E68794D3C05B8B479939AC739320D41BAAA5D91EF7D9ACBE52D6B82916"
"Project\shona\shona_core\modules\processes.py","1582","2026-02-01T03:45:11.2171930Z","3D8B1B756BE877575602241F6762BFA37A5FD4D3D715DED133081D33F391E978"
"Project\shona\shona_core\modules\services_win.py","2823","2026-02-01T05:48:10.4609816Z","A631BAA4B032EAAD2BAF2CFFB1462EFAAB38CDFBB5C32C0D6C8CAE9F2B0C14A5"
"Project\shona\shona_core\modules\startup_win.py","2333","2026-02-01T05:48:10.6537756Z","864136E04098ACD6E1D0963DE6009EF0521390FAD923E83DDAB7E1882A761A05"
